,farmName,examinDatetm,avgFrutWt,avgFlshWgh,avgLgdiamtr,avgPrbrd,avgColorValue,avgBrx,avgPrcn,avgCrdValue,avgCrd2Value,avgCrd3Value,avgAnthoValue,과일
0,천안,2016-09-28,521.57,13.05,30.42,25.91,8.67,20.73,0.381,25.56,6.17,-0.41,0.0700793,포도
1,김제,2016-08-22,447.00,5.62,22.44,20.83,9.00,15.56,0.558,27.13,3.01,-2.13,0.2385955,포도
2,천안,2017-10-10,563.65,11.04,28.44,24.58,8.35,21.19,0.395,23.81,5.98,-0.54,0.0752715,포도
3,김제,2017-08-29,379.36,6.07,21.88,20.72,9.83,14.50,0.534,27.20,2.38,-2.20,0.1848284,포도
4,화성,2017-09-07,371.31,6.54,23.70,21.55,9.67,17.06,0.468,23.76,2.81,-1.26,0.3211184,포도
5,거창,2017-08-28,346.54,5.87,22.55,20.81,9.78,16.46,0.494,27.24,2.07,-2.33,0.2394969,포도
6,상주,2017-08-28,443.36,5.69,22.83,20.44,9.44,14.87,0.603,26.16,2.45,-1.59,0.2445824,포도
7,춘천,2017-08-31,470.36,6.11,23.03,23.49,9.78,14.88,0.565,23.37,2.17,-1.03,0.3653961,포도
8,천안,2018-10-01,431.17,10.97,30.87,25.35,8.27,18.64,0.457,25.69,6.14,-0.23,0.2135969,포도
9,김제,2018-09-03,420.90,6.25,22.29,21.02,9.37,15.15,0.491,25.75,4.16,-2.07,0.2001054,포도
10,화성,2018-09-11,416.70,7.73,23.43,22.00,9.59,18.91,0.553,24.03,3.41,-0.99,0.3126311,포도
11,완주,2018-08-29,297.94,5.83,21.24,20.11,9.78,17.74,0.382,27.30,3.63,-2.23,0.3689009,포도
12,거창,2018-08-29,397.33,6.10,22.52,21.17,8.90,15.79,0.498,25.70,3.56,-2.21,0.2559353,포도
13,상주,2018-09-05,389.30,5.88,21.79,21.18,9.83,17.49,0.465,25.69,2.93,-2.32,0.3286297,포도
14,춘천,2018-09-05,433.15,6.34,22.37,20.61,9.04,17.52,0.501,23.20,4.43,-1.45,0.3127548,포도
15,김제,2019-09-06,433.90,5.58,21.91,20.15,9.47,15.56,0.581,22.64,1.09,-0.64,0.1628720,포도
16,화성,2019-09-02,455.27,7.48,24.05,22.23,9.75,18.43,0.572,21.43,1.02,-0.10,0.2059608,포도
17,완주,2019-09-03,366.20,6.44,22.66,20.99,9.56,17.71,0.532,25.92,2.57,-1.91,0.2126406,포도
18,거창,2019-08-23,382.85,6.03,22.25,20.54,9.81,15.16,0.596,27.47,2.75,-1.17,0.1955741,포도
19,상주,2019-09-02,402.27,5.02,21.19,19.06,9.37,15.64,0.623,20.63,0.76,-0.49,0.2681818,포도
20,완주,2020-09-14,445.07,12.47,29.19,27.26,8.78,16.33,0.537,25.21,2.40,-1.36,0.1430384,포도
21,완주,2020-09-17,581.07,13.45,28.66,27.55,6.57,18.66,0.534,25.83,4.62,0.89,0.0201095,포도
22,김제,2020-09-11,387.78,6.32,22.41,21.04,9.30,14.05,0.523,21.87,1.57,-0.20,0.2244127,포도
23,화성,2020-09-11,456.17,8.16,25.29,23.82,9.33,16.26,0.429,22.73,1.27,-0.84,0.2374215,포도
24,완주,2020-09-08,372.03,5.60,22.26,21.18,9.65,16.08,0.355,21.37,1.10,-0.09,0.2688416,포도
25,거창,2020-08-12,397.30,5.80,22.28,20.45,9.43,13.00,0.650,22.20,1.43,-0.41,0.1124517,포도
26,상주,2020-08-27,371.82,5.43,21.82,20.12,9.11,13.94,0.519,22.03,1.80,-1.04,0.0420581,포도
27,완주,2021-09-10,550.80,13.27,30.72,26.71,5.30,18.15,0.503,27.42,5.43,1.48,0.0160315,포도
28,옥천,2021-09-03,801.67,15.57,30.75,27.97,7.33,16.88,0.591,21.27,3.62,0.37,0.0428827,포도
29,김제,2021-08-17,287.57,6.32,22.03,21.03,9.44,15.14,0.544,23.81,0.84,-1.21,0.2525129,포도
30,화성,2021-08-18,266.00,5.76,21.47,20.68,9.33,18.08,0.459,22.09,0.74,0.13,0.2843451,포도
31,완주,2021-08-31,323.67,6.03,21.64,20.50,8.77,14.65,0.409,20.91,1.18,-0.65,0.2491318,포도
32,거창,2021-08-13,367.77,5.37,20.59,19.66,9.35,16.33,0.626,23.89,0.84,-1.58,0.2474990,포도
33,상주,2021-09-03,437.50,6.36,21.86,20.76,9.45,15.19,0.461,21.30,0.88,0.12,0.2343703,포도
34,옥천,2021-08-12,382.70,7.19,22.25,21.97,9.00,15.26,0.668,21.03,1.09,-0.19,0.3258382,포도
35,김제,2021-09-09,560.92,11.91,27.64,25.78,null,18.03,0.245,40.15,-6.31,12.45,null,포도
36,완주,2021-09-16,407.87,10.57,27.05,23.89,null,19.51,0.240,38.25,-5.61,11.74,null,포도
37,옥천,2021-09-14,366.00,9.35,26.53,23.40,null,16.81,0.285,36.50,-4.62,10.91,null,포도
