,farmName,examinDatetm,avgFrutWt,avgLgdiamtr,avgPrbrd,avgHrdnss,avgHrdnss2,avgHrdnss3,avgBrx,avgPrcn,avgCrdValue,avgCrd2Value,avgCrd3Value,과일
0,김제,2016-09-12,354.8,79.1,88.5,36.1,35.0,35.5,12.5,0.26,65.0,11.0,42.3,복숭아
1,김제,2016-09-08,352.8,78.7,88.8,43.1,47.5,45.3,12.9,0.25,64.3,10.7,42.5,복숭아
2,김제,2017-08-16,421.3,85.3,95.5,37.8,39.8,38.8,11.9,0.32,62.5,13.8,26.3,복숭아
3,이천,2017-08-17,386.5,76.1,93.5,16.7,17.9,17.3,12.7,0.36,69.9,4.3,28.6,복숭아
4,청도,2017-08-16,256.6,71.8,80.1,26.2,23.7,24.9,12.7,0.21,57.8,21.8,26.2,복숭아
5,춘천,2017-08-17,349.4,80.2,89.7,15.1,15.7,15.4,11.1,0.24,73.4,-2.4,30.2,복숭아
6,김제,2017-09-11,345.0,81.9,90.6,32.2,27.8,30.0,14.2,0.24,58.3,18.2,40.8,복숭아
7,이천,2017-09-15,328.8,78.0,88.1,28.8,26.7,27.8,12.9,0.29,67.3,4.3,47.4,복숭아
8,춘천,2017-09-15,340.8,81.9,88.6,24.0,25.3,24.7,11.7,0.29,71.1,-3.0,48.6,복숭아
9,김제,2018-08-21,285.2,75.3,83.5,42.8,42.0,42.4,15.0,0.34,70.5,3.1,30.7,복숭아
10,이천,2018-08-20,371.6,83.1,91.2,27.5,26.8,27.2,13.7,0.39,67.3,5.7,29.4,복숭아
11,청도,2018-08-20,279.2,74.6,81.2,23.4,24.0,23.7,17.0,0.31,58.3,19.8,27.4,복숭아
12,춘천,2018-08-21,357.7,83.9,90.6,38.5,34.7,36.6,14.1,0.39,70.3,1.0,30.8,복숭아
13,김제,2018-09-10,300.8,79.9,85.1,45.6,48.3,47.0,12.9,0.38,65.9,7.4,45.4,복숭아
14,이천,2018-09-12,293.3,77.3,83.8,36.1,36.8,36.4,12.7,0.37,59.4,13.8,40.7,복숭아
15,춘천,2018-09-12,360.5,83.0,90.9,19.3,22.6,21.0,11.4,0.33,67.3,3.2,47.7,복숭아
16,김제,2019-08-19,360.2,76.8,88.4,44.5,43.6,44.1,12.5,0.41,63.8,12.8,25.1,복숭아
17,이천,2019-08-19,341.0,75.7,86.7,24.0,17.0,20.5,14.1,0.32,58.4,20.8,22.6,복숭아
18,청도,2019-08-14,334.8,78.8,89.0,40.8,42.1,41.5,13.0,0.31,58.6,22.3,24.1,복숭아
19,춘천,2019-08-23,402.1,87.1,91.8,3.8,4.2,4.0,11.7,0.36,72.3,7.0,28.3,복숭아
20,김제,2019-09-06,315.4,79.4,87.0,41.5,43.2,42.4,12.6,0.41,63.0,7.9,45.1,복숭아
21,이천,2019-09-16,352.2,78.5,90.1,19.9,20.5,20.2,12.3,0.33,58.3,13.7,28.0,복숭아
22,청도,2019-09-04,318.6,78.7,87.1,41.8,47.3,44.5,11.5,0.37,64.7,3.1,47.9,복숭아
23,김제,2020-08-12,330.2,78.4,88.7,43.5,45.3,44.4,8.6,0.37,60.9,8.7,20.3,복숭아
24,이천,2020-08-13,436.0,84.4,97.5,30.7,28.3,29.5,11.1,0.29,64.5,4.6,21.7,복숭아
25,청도,2020-08-13,356.4,80.7,90.6,38.7,39.7,39.2,10.0,0.27,48.5,20.7,17.0,복숭아
26,춘천,2020-08-19,362.9,81.2,91.9,37.0,42.0,39.5,7.9,0.36,65.2,5.3,24.7,복숭아
27,김제,2020-09-04,350.0,81.9,89.4,58.2,56.6,57.4,12.6,0.34,58.4,9.7,26.8,복숭아
28,김제,2020-09-08,342.2,81.3,86.7,51.8,51.0,51.4,12.3,0.31,54.8,13.6,24.6,복숭아
29,이천,2020-09-16,376.3,80.2,93.6,41.2,41.1,41.1,10.7,0.32,60.6,4.8,30.7,복숭아
30,청도,2020-09-09,306.1,77.2,86.4,53.8,52.1,53.0,12.0,0.31,55.9,10.3,27.0,복숭아
31,춘천,2020-09-16,386.3,83.1,92.2,53.6,51.2,52.4,10.5,0.34,65.4,-1.9,31.9,복숭아
32,김제,2021-08-17,310.7,76.2,86.3,46.0,44.4,45.2,12.7,0.35,60.8,9.2,19.7,복숭아
33,완주,2021-08-06,265.9,74.5,81.8,26.9,32.1,29.5,14.2,0.24,61.0,14.2,18.0,복숭아
34,이천,2021-08-12,407.5,82.6,90.1,34.4,33.9,34.1,14.3,0.29,68.2,-1.0,24.1,복숭아
35,청도,2021-08-13,314.6,74.5,86.1,22.5,21.7,22.1,14.9,0.28,62.1,6.8,21.8,복숭아
36,춘천,2021-08-25,310.7,77.5,85.7,30.5,31.7,31.1,13.0,0.40,64.6,6.1,22.7,복숭아
37,김제,2021-08-30,342.8,81.6,88.7,36.7,41.6,39.1,12.8,0.26,63.5,7.2,30.8,복숭아
38,이천,2021-09-14,411.0,81.8,97.3,37.9,37.2,37.5,13.2,0.29,64.1,3.1,31.8,복숭아
39,청도,2021-09-06,297.3,74.2,87.8,38.5,36.1,37.3,13.2,0.25,55.5,11.2,27.2,복숭아
40,진주,2021-06-10,123.6,61.1,65.0,74.7,null,74.7,8.7,0.66,66.4,-12.0,37.0,복숭아
41,진주,2021-06-15,169.5,65.4,72.9,55.9,null,55.9,8.4,0.60,69.0,-9.0,37.1,복숭아
42,진주,2021-06-17,180.8,65.9,74.5,44.0,null,44.0,8.4,0.52,71.2,-8.6,38.5,복숭아
43,진주,2021-06-20,228.9,69.8,82.7,11.4,null,11.4,10.3,0.30,58.1,27.5,26.2,복숭아
44,진주,2021-06-22,211.2,65.9,80.9,20.1,null,20.1,9.4,0.33,66.6,10.8,32.3,복숭아
45,진주,2021-06-24,204.9,67.6,79.8,24.0,null,24.0,9.0,0.31,63.4,17.4,28.3,복숭아
