,farm_name,examin_datetm,avg_frut_wt,avg_lgdiamtr,avg_prbrd,avg_hrdnss,avg_brx,avg_prcn,과일
0,김제,2016-09-28,650.0,98.9,109.4,36.7,14.3,0.177,배
1,김제,2016-08-30,530.4,86.7,104.1,38.6,13.0,0.099,배
2,나주,2017-09-26,896.0,113.0,122.5,40.9,13.8,0.187,배
3,나주,2017-09-28,958.5,110.1,121.9,27.9,14.1,0.180,배
4,영천,2017-10-20,715.8,97.5,114.1,34.3,14.3,0.179,배
5,천안,2017-09-20,696.4,95.0,113.8,33.8,11.8,0.148,배
6,이천,2017-10-11,708.2,99.1,115.7,31.0,12.6,0.174,배
7,김제,2017-09-28,826.9,104.1,119.6,37.2,13.1,0.117,배
8,춘천,2017-09-22,814.9,105.4,119.2,43.0,12.3,0.122,배
9,나주,2017-08-29,559.2,94.1,103.2,41.4,13.1,0.273,배
10,완주,2017-08-29,566.4,87.2,107.5,35.2,13.8,0.162,배
11,이천,2017-09-08,565.9,89.3,106.7,38.2,11.7,0.250,배
12,김제,2017-08-29,650.2,93.6,111.6,40.6,12.1,0.172,배
13,나주,2018-10-02,663.8,104.9,111.4,31.2,14.3,0.195,배
14,완주,2018-10-05,760.8,106.3,116.2,40.1,14.2,0.170,배
15,천안,2018-09-20,655.6,93.9,149.2,43.0,13.4,0.149,배
16,이천,2018-10-15,512.6,89.0,101.4,43.1,14.8,0.184,배
17,김제,2018-09-28,695.5,100.7,112.3,42.5,13.5,0.172,배
18,완주,2018-08-28,490.3,86.0,100.8,3.6,14.4,0.158,배
19,천안,2018-08-14,496.4,84.6,98.1,46.4,15.1,0.169,배
20,이천,2018-09-13,567.8,93.5,104.1,40.9,13.5,0.324,배
21,김제,2018-08-21,517.8,85.7,102.5,49.2,14.0,0.241,배
22,나주,2019-09-27,528.6,104.8,92.1,25.2,10.7,0.134,배
23,완주,2019-09-26,811.8,103.0,117.7,37.3,12.8,0.196,배
24,사천,2019-09-30,588.0,91.2,107.6,23.6,13.0,0.205,배
25,천안,2019-09-30,521.6,83.2,100.8,30.2,12.2,0.201,배
26,이천,2019-10-08,642.8,90.1,111.0,23.2,12.6,0.254,배
27,울산,2019-09-30,641.9,96.8,108.5,23.9,11.9,0.165,배
28,상주,2019-09-30,729.4,95.9,113.0,24.1,12.2,0.193,배
29,김제,2019-09-30,759.0,99.3,116.0,33.8,12.2,0.245,배
30,나주,2019-08-26,472.8,85.2,97.9,34.1,11.1,0.293,배
31,완주,2019-08-28,616.7,91.0,108.0,42.3,12.5,0.252,배
32,사천,2019-09-30,547.3,89.1,105.1,23.3,12.9,0.205,배
33,천안,2019-09-30,516.8,84.8,101.9,25.4,12.7,0.201,배
34,이천,2019-09-30,587.4,90.8,107.6,26.1,12.2,0.318,배
35,김제,2019-09-02,603.0,89.5,108.3,39.0,12.1,0.273,배
36,나주,2020-09-23,707.0,110.8,97.4,28.4,11.6,0.184,배
37,완주,2020-09-22,677.2,97.6,111.6,36.8,12.0,0.126,배
38,사천,2020-08-24,656.1,108.0,96.3,30.1,11.1,0.172,배
39,천안,2020-09-23,599.6,104.1,86.7,31.5,10.1,0.153,배
40,이천,2020-09-23,588.7,105.7,85.1,29.3,11.0,0.210,배
41,상주,2020-09-23,690.9,111.4,88.7,29.4,12.0,0.154,배
42,김제,2020-09-22,631.0,93.6,110.0,34.1,13.2,0.154,배
43,나주,2020-08-24,451.4,91.7,76.1,32.2,11.5,0.276,배
44,완주,2020-08-24,583.4,87.2,108.8,39.3,11.4,0.222,배
45,영천,2020-08-25,302.6,102.5,55.1,18.7,9.6,0.279,배
46,사천,2020-08-24,601.8,104.2,83.6,26.6,11.4,0.249,배
47,천안,2020-08-19,369.0,92.8,73.4,26.2,9.7,0.215,배
48,이천,2020-09-01,428.3,95.8,80.9,28.5,10.3,0.311,배
49,울산,2020-08-11,522.2,102.5,83.1,27.1,10.2,0.279,배
50,상주,2020-08-25,501.0,96.6,81.5,29.5,11.9,0.290,배
51,김제,2020-08-27,451.3,82.3,99.8,39.2,12.9,0.196,배
52,완주,2021-09-23,708.2,98.2,113.4,31.0,12.0,0.091,배
53,김제,2021-09-23,782.9,101.8,117.1,40.8,13.0,0.130,배
54,완주,2021-08-24,546.3,88.1,104.0,42.2,11.9,0.191,배
55,김제,2021-08-26,611.9,91.1,108.7,42.2,12.9,0.197,배
